film_id,film,mentions,list_2020,list_2021,list_2022,year,length,mpaa,imdb_categories,imdb_ratings,imdb_stars,imdb_pct10,dr_love,imdb_link,new,,44
1,8 1/2,1,1,0,0,1963,138,NR,Drama,113258,8.0,27.6,No,https://www.imdb.com/title/tt0056801/,0,,
2,2001: A Space Odyssey,1,0,1,0,1968,149,G,"Adventure, Sci-Fi",628220,8.3,30.4,Yes,https://www.imdb.com/title/tt0062622/,0,,
3,About Elly,1,0,0,1,2009,119,TV-PG,"Drama, Mystery",53523,7.9,22.4,No,https://www.imdb.com/title/tt1360860/,1,,
4,About Time,2,2,0,0,2013,123,R,"Comedy, Drama, Fantasy",321525,7.8,16.9,No,https://www.imdb.com/title/tt2194499/,0,,
5,Avatar,1,1,0,0,2009,162,PG-13,"Action, Adventure, Fantasy",1154273,7.8,21.4,No,https://www.imdb.com/title/tt0499549/,0,,
6,Avengers: Infinity War,1,1,0,0,2018,149,PG-13,"Action, Adventure, Sci-Fi",919813,8.4,33.9,Yes,https://www.imdb.com/title/tt4154756/,0,,
7,Avengers: Endgame,3,1,1,1,2019,181,PG-13,"Action, Adventure, Drama",933367,8.4,36.1,Yes,https://www.imdb.com/title/tt4154796/,0,,
8,Back to the Future,2,1,0,1,1985,116,PG,"Adventure, Comedy, Sci-Fi",1110099,8.5,25.7,Yes,https://www.imdb.com/title/tt0088763/,0,,
9,Back to the Future Part II,1,0,1,0,1989,108,PG,"Adventure, Comedy, Sci-Fi",500471,7.8,15,Yes,https://www.imdb.com/title/tt0096874/,0,,
10,Beaches,1,1,0,0,1988,123,PG-13,"Comedy, Drama, Music",24694,7.0,17.6,No,https://www.imdb.com/title/tt0094715/,0,,
11,Bee Movie,1,0,0,1,2007,91,PG,"Animation, Adventure, Comedy",161600,6.1,6.2,Yes,https://www.imdb.com/title/tt0389790,1,,
12,Beetlejuice,1,1,0,0,1988,92,PG,"Comedy, Fantasy",274473,7.5,12.2,Yes,https://www.imdb.com/title/tt0094721/,0,,
13,Being John Malkovich,1,1,0,0,1999,113,R,"Comedy, Drama, Fantasy",322833,7.7,12.5,No,https://www.imdb.com/title/tt0120601/,0,,
14,The Big Lebowski,1,1,0,0,1998,117,R,"Comedy, Crime, Sport",764336,8.1,22.1,Yes,https://www.imdb.com/title/tt0118715/,0,,
